,PriceUpdateDate,ItemCode,ItemType,ItemNm,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,bIsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus,Location
63,2022-02-28 13:31:00,7290003989539,1,רביולי גבינה  400 ג' שטראוס,לא ידוע,לא ידוע,רביולי גבינה  400 ג' שטראוס,יחידה,1,יחידה,0,9.0000,19.8,19.8000,0,1,16 עכו
64,2022-02-28 13:10:00,7290004120566,1,גבינה בולגרית 24%  250 ג' פיראוס,לא ידוע,לא ידוע,גבינה בולגרית 24%  250 ג' פיראוס,יחידה,1,יחידה,0,12.0000,19.9,19.9000,0,1,16 עכו
65,2022-02-28 13:15:00,7290004120573,1,גבינה בולגרית  %16  250 ג' פיראוס,לא ידוע,לא ידוע,גבינה בולגרית  %16  250 ג' פיראוס,יחידה,1,יחידה,0,12.0000,19.9,19.9000,0,1,16 עכו
66,2022-02-28 13:15:00,7290004120634,1,גבינה בולגרית %5  250 ג' פיראוס,לא ידוע,לא ידוע,גבינה בולגרית %5  250 ג' פיראוס,יחידה,1,יחידה,0,12.0000,19.9,19.9000,0,1,16 עכו
67,2022-02-28 13:15:00,7290004121754,1,יוגורט עוגת גבינה ותות 3% שומן  150 ג' יופלה,לא ידוע,לא ידוע,יוגורט עוגת גבינה ותות 3% שומן  150 ג' יופלה,יחידה,1,יחידה,0,24.0000,4.7,4.7000,0,1,16 עכו
68,2022-02-28 13:15:00,7290004121853,1,גבינה בולגרית בקוביות %5 200 ג' פיראוס,לא ידוע,לא ידוע,גבינה בולגרית בקוביות %5 200 ג' פיראוס,יחידה,1,יחידה,0,12.0000,19.9,19.9000,0,1,16 עכו
69,2022-02-28 13:15:00,7290004122270,1,גבינה צהובה פרוס בקופסא %28 200 ג' עמק,לא ידוע,לא ידוע,גבינה צהובה פרוס בקופסא %28 200 ג' עמק,יחידה,1,יחידה,0,18.0000,15.8,15.8000,0,1,16 עכו
70,2022-02-28 13:15:00,7290004125776,1,גבינה צהובה 28% שומן 400 ג' עמק,לא ידוע,לא ידוע,גבינה צהובה 28% שומן 400 ג' עמק,יחידה,1,יחידה,0,12.0000,27.8,27.8000,0,1,16 עכו
71,2022-02-28 13:10:00,7290004126674,1,פרוסות גבינה חצי קשה  9% שומן  200 ג' עמק,לא ידוע,לא ידוע,פרוסות גבינה חצי קשה  9% שומן  200 ג' עמק,יחידה,1,יחידה,0,18.0000,18.9,18.9000,0,1,16 עכו
72,2022-02-28 13:15:00,7290004127800,1,גבינה לבנה 5% שומן  500 ג' תנובה,לא ידוע,לא ידוע,גבינה לבנה 5% שומן  500 ג' תנובה,יחידה,1,יחידה,0,12.0000,9.2,9.2000,0,1,16 עכו
73,2022-02-28 13:15:00,7290004127817,1,גבינה לבנה 9% שומן 500 ג' תנובה,לא ידוע,לא ידוע,גבינה לבנה 9% שומן 500 ג' תנובה,יחידה,1,יחידה,0,12.0000,9.2,9.2000,0,1,16 עכו
74,2022-02-28 13:15:00,7290004127862,1,גבינה לבנה 5% שומן 750 ג' תנובה,לא ידוע,לא ידוע,גבינה לבנה 5% שומן 750 ג' תנובה,יחידה,1,יחידה,0,6.0000,13.7,13.7000,0,1,16 עכו
75,2022-02-28 13:15:00,7290004127916,1,גבינה לבנה 0.5%  שומן  500 ג' תנובה,לא ידוע,לא ידוע,גבינה לבנה 0.5%  שומן  500 ג' תנובה,יחידה,1,יחידה,0,12.0000,9.2,9.2000,0,1,16 עכו
76,2022-02-28 13:10:00,7290004128432,1,פתיתים מיוחדים לפיצה על בסיס גבינה 500 ג',לא ידוע,לא ידוע,פתיתים מיוחדים לפיצה על בסיס גבינה 500 ג',יחידה,1,יחידה,0,12.0000,22.9,22.9000,0,1,16 עכו
77,2022-02-28 13:15:00,7290004131227,1,גבינה לבנה 3% שומן 500 ג' תנובה,לא ידוע,לא ידוע,גבינה לבנה 3% שומן 500 ג' תנובה,יחידה,1,יחידה,0,12.0000,9.2,9.2000,0,1,16 עכו
78,2022-02-28 13:15:00,7290004131814,1,גבינה צפתית 5% מעודנת  200 ג' פיראוס,לא ידוע,לא ידוע,גבינה צפתית 5% מעודנת  200 ג' פיראוס,יחידה,1,יחידה,0,18.0000,14.9,14.9000,0,1,16 עכו
79,2022-02-28 13:15:00,7290004135614,1,גבינה בולגרית מעודנת 5%  250 ג' פיראוס,לא ידוע,לא ידוע,גבינה בולגרית מעודנת 5%  250 ג' פיראוס,יחידה,1,יחידה,0,12.0000,20.4,20.4000,0,1,16 עכו
